number|headword|en|ru|tk
2001|哎|hey!; oh!|эй!; о!|eý!; wah!
2002|哎呀|oh!; oh dear!|ой!; ах!|wah!; waý!
2003|唉|alas; oh dear|эх; увы|wah; arman
2004|爱护|cherish; take good care of|беречь; заботиться о|aýamak; aladasyny etmek
2005|安|peaceful; settle; install|спокойный; успокаивать; устанавливать|asuda; köşeşdirmek; oturtmak
2006|安全带|seat belt; safety harness|ремень безопасности; страховочный пояс|howpsuzlyk kemeri
2007|安慰|comfort; console|утешать; утешение|göwünlik bermek; teselli
2008|安装|install; fit|устанавливать; монтировать|gurmak; oturtmak
2009|暗|dark; dim; hidden|тёмный; тусклый; скрытый|garaňky; öçügsi; gizlin
2010|熬夜|stay up late or all night|не спать допоздна; бодрствовать ночью|gijä çenli ýatman oturmak; gijäni ukusyz geçirmek
2011|把握|grasp; seize; confidence|ухватить; использовать; уверенность|ele almak; peýdalanmak; ynam
2012|白|in vain; free of charge; white|напрасно; бесплатно; белый|biderek; mugt; ak
2013|半夜|midnight; middle of the night|полночь; среди ночи|ýarygije; gijäniň ýary
2014|傍晚|towards evening; dusk|под вечер; сумерки|agşamüstüne; iňrik
2015|包裹|wrap; parcel|заворачивать; посылка|dolamak; bukja
2016|包含|contain; include|содержать; включать|öz içine almak
2017|包括|include; comprise|включать; в том числе|öz içine almak; şol sanda
2018|包装|pack; packaging|упаковывать; упаковка|gaplamak; gaplama
2019|薄|thin; light; weak|тонкий; негустой; слабый|ýuka; suwuk; gowşak
2020|宝|treasure; precious object|сокровище; драгоценность|hazyna; gymmatbaha zat
2021|保|protect; guarantee; guarantor|защищать; гарантировать; поручитель|goramak; kepillendirmek; kepil
2022|保安|maintain security; security guard|обеспечивать безопасность; охранник|howpsuzlygy üpjün etmek; garawul
2023|宝贝|treasure; darling; baby|сокровище; любимый; малыш|hazyna; ezizim; balajyk
2024|保持|keep; maintain|сохранять; поддерживать|saklamak; dowam etdirmek
2025|保存|preserve; store; save|сохранять; хранить|aýap saklamak; ýatda saklamak
2026|宝贵|precious; valuable|драгоценный; ценный|gymmatly; gadyrly
2027|保留|retain; reserve; hold back|сохранять; оставлять; сдерживать|saklap galmak; ätiýaçda goýmak
2028|保险|insurance; safe; insure|страхование; надёжный; страховать|ätiýaçlandyryş; ygtybarly; ätiýaçlandyrmak
2029|保质期|shelf life|срок годности|ýaramlylyk möhleti
2030|报到|report for duty; register one's arrival|явиться и зарегистрироваться|gelendigiňi habar bermek; hasaba durmak
2031|报道|report news; news report|сообщать новости; репортаж|habar bermek; habar
2032|报告|report; presentation|докладывать; доклад; отчёт|hasabat bermek; hasabat; çykyş
2033|报警|report to the police; raise an alarm|вызвать полицию; подать сигнал тревоги|polisiýa habar bermek; duýduryş bermek
2034|暴雨|torrential rain|ливень|çabga
2035|抱怨|complain; grumble|жаловаться; сетовать|nägilelik bildirmek; zeýrenmek
2036|背|back; recite from memory|спина; учить и читать наизусть|arka; ýat tutmak; ýatdan aýtmak
2037|背后|behind; behind someone's back|позади; за спиной|arkasynda; gizlinlikde
2038|背景|background; context|фон; предыстория; контекст|yzky görnüş; ýagdaýyň taryhy
2039|被子|quilt; blanket|одеяло|ýorgan
2040|本2|originally; this; the present|первоначально; этот; данный|aslynda; şu; häzirki
2041|本地|local; this area|местный; здешняя местность|ýerli; şu ýer
2042|本领|ability; skill|умение; мастерство|başarnyk; ussatlyk
2043|本人|the person concerned; I myself|сам человек; я лично|adamyň özi; meniň özüm
2044|本质|essence; inherent nature|сущность; природа|düýp many; asyl häsiýet
2045|彼此|each other; one another|друг друга; взаимно|biri-birini; özara
2046|比分|score in a game|счёт в игре|oýnuň hasaby
2047|比例|proportion; ratio; scale|пропорция; соотношение; масштаб|gatnaşyk; deňölçeglilik; masştab
2048|比喻|metaphor; make a comparison|метафора; образно сравнивать|meňzetme; meňzetmek
2049|必|certainly; must|непременно; обязательно|hökman; elbetde
2050|毕竟|after all; in the end|всё-таки; в конце концов|ahyry; her niçik-de bolsa
2051|避免|avoid; prevent|избегать; предотвращать|gaça durmak; öňüni almak
2052|闭幕式|closing ceremony|церемония закрытия|ýapylyş dabarasy
2053|必然|inevitable; necessarily|неизбежный; неизбежно|gutulgysyz; hökmany suratda
