number|en|ru|tk
1|to love|любить|söýmek
2|eight|восемь|sekiz
3|dad; father|папа; отец|kaka
4|particle suggesting or softening a statement|частица предложения, просьбы или предположения|teklibi, haýyşy ýa-da çaklamany ýumşadýan kömekçi söz
5|daytime|дневное время; днём|gündiz
6|hundred|сто|ýüz
7|half|половина; половинный|ýarym
8|steamed bun with a filling|баоцзы; паровая булочка с начинкой|içi huruşly, bugda bişirilen külçe
9|cup; glass|чашка; стакан|käse; bulgur
10|measure word for books and notebooks|счётное слово для книг и тетрадей|kitaplar we depderler üçin sanaw sözi
11|side; edge|сторона; край|tarap; gyrak
12|illness; to be ill|болезнь; болеть|kesel; kesellemek
13|not; no|не; нет|däl; ýok
14|you are welcome|не за что; пожалуйста в ответ на благодарность|minnetdarlyga jogap: bir zat däl
15|do not; must not|не надо; не следует|etme; etmeli däl
16|dish; vegetables|блюдо; овощи|nahar; gök önümler
17|tea|чай|çaý
18|to sing|петь|aýdym aýtmak
19|supermarket|супермаркет|supermarket
20|vehicle; car|транспортное средство; машина|ulag; awtoulag
21|to eat|есть; кушать|iýmek
22|taxi|такси|taksi
23|to wear; to put on clothes|носить; надевать одежду|geýmek
24|to make a phone call|звонить по телефону|telefon arkaly jaň etmek
25|big; large|большой|uly
26|everyone; everybody|все; каждый из присутствующих|hemmeler
27|university|университет|uniwersitet
28|university student|студент университета|uniwersitetiň talyby
29|to arrive; to reach; until|прибывать; достигать; до|barmak; ýetmek; çenli
30|particle marking possession or an attribute|частица принадлежности или определения|degişliligi ýa-da sypaty bildirýän kömekçi söz
31|prefix forming ordinal numbers|приставка порядковых числительных|tertip sanlaryny ýasaýan öň goşulma
32|younger brother|младший брат|ini
33|o'clock; a little; point|час на часах; немного; точка|sagat; azajyk; nokat
34|shop; store|магазин; лавка|dükan
35|telephone; phone call|телефон; телефонный звонок|telefon; telefon jaňy
36|computer|компьютер|kompýuter
37|television; TV set|телевидение; телевизор|telewideniýe; telewizor
38|film; movie|фильм; кино|film; kino
39|cinema; movie theatre|кинотеатр|kinoteatr
40|thing; object|вещь; предмет|zat
41|all; both|все; оба|ählisi; ikisi-de
42|to read; to study|читать; учиться|okamak
43|to read books; to attend school|читать книги; учиться|kitap okamak; bilim almak
44|correct; right; towards|правильный; верный; по отношению к|dogry; babatynda
45|sorry; I am sorry|извините; прости|bagyşlaň; ötünç soraýaryn
46|many; much; more|много; больше|köp; has köp
47|how many; how much|сколько|näçe
48|son|сын|ogul
49|two|два|iki
50|meal; cooked rice|еда; варёный рис|nahar; bişirilen tüwi
51|restaurant; hotel|ресторан; гостиница|restoran; myhmanhana
52|room|комната|otag
53|very; extremely|очень; чрезвычайно|örän; juda
54|aeroplane|самолёт|uçar
55|minute; point; one hundredth of a yuan|минута; балл; фэнь, сотая часть юаня|minut; bal; fen, ýuanyň ýüzden bir bölegi
56|minute, a unit of time|минута, единица времени|minut, wagt birligi
57|happy; pleased|радостный; довольный|şat; begençli
58|song|песня|aýdym
59|older brother|старший брат|aga
60|general measure word|универсальное счётное слово|umumy sanaw sözi
61|to give; for; to|давать; для; кому-либо|bermek; üçin; birine
62|company; firm|компания; фирма|kompaniýa; kärhana
63|to work; work; job|работать; работа|işlemek; iş
64|dog|собака|it
65|expensive|дорогой по цене|gymmat
66|country; nation|страна; государство|ýurt; döwlet
67|still; also; in addition|ещё; всё ещё; также|henizem; ýene; hem
68|child; children|ребёнок; дети|çaga; çagalar
69|Chinese language|китайский язык|hytaý dili
70|Chinese character|китайский иероглиф|hytaý ýazuw nyşany
71|good; well|хороший; хорошо|gowy
72|tasty; delicious|вкусный|tagamly
73|good-looking; enjoyable to watch|красивый; интересный для просмотра|owadan; görmäge ýakymly
74|pleasant to hear|приятный на слух; красиво звучащий|diňlemäge ýakymly
75|fun; enjoyable|интересный; занимательный|gyzykly; hezil
76|number; date of the month|номер; число месяца|belgi; aýyň güni
77|to drink|пить|içmek
78|and; with|и; с|we; bilen
79|very|очень|örän; gaty
80|behind; after|сзади; после|yzda; soň
